DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;CONFIRMATION;PRICE_LAST;PRICE_LEVEL;LAST_LEVEL_DIFFERENCE
2018-03-06;15:56;Tuesday;COPP-B.ST;SELL;DOWNRed;1.2380;1.2500;0.99
2018-03-06;15:56;Tuesday;G5EN.ST;BUY;UPRed;336.8000;321.0000;1.049
2018-03-06;15:56;Tuesday;SALT-B.ST;BUY;UPOrange;27.0000;25.6800;1.051
2018-03-06;15:56;Tuesday;SERT.ST;SELL;DOWNGreen;2.3500;2.4800;0.948
2018-03-06;15:56;Tuesday;SPEC.ST;SELL;DOWNRed;15.5200;15.5900;0.996
2018-03-06;20:53;Tuesday;COPP-B.ST;SELL;SELL;1.2250;1.2480;0.982
2018-03-06;20:53;Tuesday;SALT-B.ST;BUY;BUY;26.9000;25.7200;1.046
2018-03-06;20:53;Tuesday;SERT.ST;SELL;SELL;2.3800;2.4700;0.964
2018-03-06;20:53;Tuesday;SPEC.ST;SELL;SELL;15.5000;15.5700;0.996
