NAMESHORT;NAME;URL;VALUE
LAUR.ST;LAURITZ.COM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAUR.ST;186.2
KDEV.ST;KAROLINSKA DEV;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KDEV.ST;185.72
AXIC-A.ST;AXICHEM A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;184.58
IVSO.ST;INVISIO COMMUNICATIONS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVSO.ST;184.44
SERT.ST;SERSTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;183.14
COGS.ST;COGNOSEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;182.91
CANTA.ST;CANTARGIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;182.88
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;182.35
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;182.13
LEO.ST;LEOVEGAS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEO.ST;180.87
JAYS.ST;JAYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JAYS.ST;180.19
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;175.4
DOME.ST;DOME ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;174.45
SAS.ST;SAS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;174.31
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;173.89
SOLT.ST;SOLTECH ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOLT.ST;173.71
MERT-A.NGM;MERTIVA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM;172.69
DOXA.ST;DOXA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;171.4
ALIRA-B.ST;ALIGERA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;170.67
BRIOX.NGM;BRIOX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;170.62
CLEMO.ST;CLEAN MOTION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;168.58
RISEN.NGM;RIPASSO ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RISEN.NGM;168.49
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;168.04
TRANS.ST;TRANSTEMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;167.71
IMNP.ST;IMMUNE PHARMACEUTICALS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMNP.ST;167.38
JLT.ST;JLT MOBILE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST;167.35
BOUL.ST;BOULE DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;166.73
TOBII.ST;TOBII;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST;165.64
MAHA-A.ST;MAHA ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A.ST;165.49
CEVI.ST;CELLAVISION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;164.18
ELTEL.ST;ELTEL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST;163.38
HELIO.ST;HELIOSPECTRA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;161.83
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;161.07
ONCO.ST;ONCOPEPTIDES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ONCO.ST;160.58
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;159.18
DIVI-B.NGM;DIVIDEND SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;159.09
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;158.43
IPCO.ST;INTERNATIONAL PETROLEUM CORPORATION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IPCO.ST;158.21
RTC.ST;RETHINKING CARE SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RTC.ST;158.15
KAMBI.ST;KAMBI GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;157.85
VERI.ST;VERISEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST;156.85
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;156.75
TANGI.ST;TANGIAMO TOUCH TECHNOLOGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TANGI.ST;156.01
TROAX.ST;TROAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;154.94
PIEZO.ST;PIEZOMOTOR UPPSALA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;154.84
SENS.ST;SENSYS GATSO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SENS.ST;154.06
PREC.ST;PRECISE BIOMETRICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST;153.75
SANION.ST;SANIONA A/S;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;153.66
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;153.23
IMMU.ST;IMMUNICUM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST;152.98
THQN-B.ST;THQ NORDIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST;152.53
GENO.ST;GENOVIS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GENO.ST;151.32
PCELL.ST;POWERCELL SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;151.15
BIOVIC-B.ST;BIOVICA INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;149.22
CRWN;CROWN ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;149.16
SKIS-B.ST;SKISTAR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKIS-B.ST;148.93
ORTI-B.ST;ORTIVUS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-B.ST;148.18
HMS.ST;HMS NETWORKS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;147.87
TMG.ST;THE MARKETING GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST;147.78
SSAB-B.ST;SSAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;146.76
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;146.48
ERIC-B.ST;ERICSSON B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST;146.28
