NAMESHORT;NAME;URL;VALUE
AGRO.ST;AGROMINO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;123.65
INDT.ST;INDUTRADE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDT.ST;123.64
CHRO.ST;CHROMOGENICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;123.51
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;123.44
LUMI.ST;LUNDIN MINING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUMI.ST;123.4
ORIF.ST;ORIFLAME HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;122.93
SUSW.ST;SURGICAL SCIENCE SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SUSW.ST;122.86
COOR.ST;COOR SERVICE MANAGEMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;122.81
NVP.ST;NEUROVIVE PHARMACEUTICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST;122.81
FEEL.ST;FEELGOOD SVENSKA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;122.73
KARO.ST;KARO PHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST;122.68
PROF-B.ST;PROFILGRUPPEN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;122.54
HEMF.ST;HEMFOSA FASTIGHETER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST;122.49
CLX.ST;CLX COMMUNICATIONS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;122.46
PLED.ST;PLED PHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PLED.ST;122.11
BRG-B.ST;BERGS TIMBER B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;121.88
EKTA-B.ST;ELEKTA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;121.82
HUM.ST;HUMANA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST;121.8
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;121.78
CINN.ST;CINNO FIN TECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;121.31
MPI.ST;MEDICAL PROGNOSIS INSTITUTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MPI.ST;121.26
NCC-A.ST;NCC A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-A.ST;121.12
RECI-B.ST;RECIPHARM AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RECI-B.ST;120.95
66669.ST;ALLTELE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=66669.ST;120.84
NMAN.ST;NEDERMAN HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NMAN.ST;120.7
LUG.ST;LUNDIN GOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUG.ST;120.65
CLBIO.ST;CORLINE BIOMED;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;120.56
MACK-B.ST;MACKMYRA SVENSK WHISKEY B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MACK-B.ST;120.56
KLOV-A.ST;KLOVERN A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST;120.32
INVE-B.ST;INVESTOR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-B.ST;120.08
VICP-B.ST;VICTORIA PARK B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-B.ST;120.06
ICTA-B.ST;INTELLECTA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICTA-B.ST;119.64
DEDI.ST;DEDICARE AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;119.58
VOLV-A.ST;VOLVO A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-A.ST;119.57
AINO.ST;AINO HEALTH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;119.55
EPIS-B.ST;EPISURF MEDICALORD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;119.53
THULE.ST;THULE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST;119.5
IVACC.ST;INTERVACC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST;119.4
SVOL-B.ST;SVOLDER B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-B.ST;119.36
WIHL.ST;WIHLBORGS FASTIGHETER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WIHL.ST;119.35
UTG.ST;UNLIMITED TRAVEL GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UTG.ST;119.29
RROS.ST;ROTTNEROS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RROS.ST;119
BMAX.ST;BYGGMAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;118.95
KINV-A.ST;KINNEVIK A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;118.86
ANOD-B.ST;ADDNODE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;118.84
DIOS.ST;DIOS FASTIGHETER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;118.77
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST;118.64
TALK.ST;TALKPOOL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TALK.ST;118.63
RESURS.ST;RESURS HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RESURS.ST;118.46
VOLV-B.ST;VOLVO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST;118.43
HOVD.ST;HOVDING SVERIGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST;118.29
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;118.26
DIGN.ST;DIGNITANA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;117.99
SRNKE-B.ST;SERNEKE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST;117.92
REJL-B.ST;REJLERS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REJL-B.ST;117.83
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;117.64
ATIC.ST;ACTIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;117.53
TOBIN.ST;TOBIN PROPERTIES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBIN.ST;117.52
FPAR.ST;FAST PARTNER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;117.4
KIND-SDB.ST;KINDRED GROUP SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;117.36
CI-B.ST;CELL IMPACT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;117.31
SEYE.ST;SMART EYE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEYE.ST;117.3
GETI-B.ST;GETINGE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST;117.21
ENEA.ST;ENEA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;117.17
GRNG.ST;GRANGES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GRNG.ST;117.13
SWOL-B.ST;SWEDOL B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWOL-B.ST;116.92
NGQ.ST;NGEX RESOURCES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGQ.ST;116.91
SECI.ST;SECITS HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECI.ST;116.89
VICP.ST;VICTORIA PARK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP.ST;116.7
ATCO-B.ST;ATLAS COPCO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;116.57
SKA-B.ST;SKANSKA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST;116.54
NUE.ST;NUEVOLUTION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NUE.ST;116.45
ELUX-A.ST;ELECTROLUX A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST;116.35
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;115.83
ALON-B.NGM;ARCHELON;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;115.8
ENERS.ST;ENERSIZE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;115.77
HANC-PREF-A.ST;HANCAP PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST;115.76
CATE.ST;CATENA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;115.74
SMF.ST;SEMAFO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SMF.ST;115.62
SECU-B.ST;SECURITAS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECU-B.ST;115.59
NICKE.NGM;NICKEL MOUNTAIN RESOURCES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM;115.56
AROC.ST;AROCELL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;115.55
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST;115.45
ODD.ST;ODD MOLLY INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ODD.ST;115.34
KOBR%20MTFB;KOPPARBERGS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR%20MTFB;115.29
RENT.NGM;RENTUNDER HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RENT.NGM;115.26
LOOM-B.ST;LOOMIS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;115.21
SCA-B.ST;SVENSKA CELLULOSA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST;115.15
STE-A.ST;STORA ENSO A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-A.ST;115.01
WALL-B.ST;WALLENSTAM B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WALL-B.ST;114.73
MTG-A.ST;MTG A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-A.ST;114.72
DORO.ST;DORO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;114.64
ERIC-A.ST;ERICSSON A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;114.54
DIAH.ST;DIADROM HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;114.52
BILI-A.ST;BILIA A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;114.46
SHB-B.ST;HANDELSBANKEN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST;114.38
SF.ST;STILLFRONT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SF.ST;114.31
INDEX.ST;INDEX PHARMACEUTICALS HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST;114.19
MIDW-B.ST;MIDWAY HOLDING B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIDW-B.ST;114.19
AGES-B.ST;AGES INDUSTRI;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;113.99
SCA-A.ST;SVENSKA CELLULOSA A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-A.ST;113.85
TEL2-A.ST;TELE2 A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-A.ST;113.84
PACT.ST;PROACT IT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST;113.8
DRIL.ST;DRILLCON;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST;113.73
SSM.ST;SSM HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSM.ST;113.7
BELE.ST;BEIJER ELECTRONICS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST;113.34
DUST.ST;DUSTIN GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;113.33
BURE.ST;BURE EQUITY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;113.31
FPIP.ST;FORMPIPE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;113.31
AM1S.ST;AHLSTROM-MUNKSJO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;113.27
EAST.ST;EASTNINE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;113.26
KLED.ST;KUNGSLEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST;113.15
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;113.09
SJR-B.ST;SJR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SJR-B.ST;113.01
MELK.ST;MELKER SCHORLING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MELK.ST;112.82
LEX.ST;LEXINGTON COMPANY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEX.ST;112.8
SAGA-D.ST;SAGAX LINE D;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-D.ST;112.72
MULT.NGM;MULTIDOCKER CARGO HANDLING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULT.NGM;112.69
AIK-B.NGM;AIK FOTBALL B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;112.6
AQ.ST;AROS QUALITY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;112.59
FNMA-PREF.ST;FNMA PREF PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST;112.46
XVIVO.ST;XVIVO PERFUS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XVIVO.ST;112.16
INDU-A.ST;INDUSTRIVARDEN A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-A.ST;112.14
CAPAC.ST;CAPACENT HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;112
GPX.ST;GASPOROX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST;111.92
VEMF-SDB.ST;VOSTOK EMERGING FINANCE SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VEMF-SDB.ST;111.64
AUTO.ST;VA AUTOMOTIVE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;111.6
IQSE.NGM;IQS ENERGI KOMFORT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IQSE.NGM;111.59
NOBI.ST;NOBIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBI.ST;111.58
KLAR.ST;KLARIA PHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLAR.ST;111.46
DIST.ST;DISTIT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;111.38
LIAB.ST;LINDAB INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIAB.ST;111.23
NDA-SEK.ST;NORDEA BANK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDA-SEK.ST;111.21
HPOL-B.ST;HEXPOL B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HPOL-B.ST;111.15
MTG-B.ST;MODERN TIMES GROUP MTG B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-B.ST;111.13
SAGA-A.ST;SAGAX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-A.ST;111.13
SAGA-B.ST;SAGAX B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-B.ST;110.96
COIC.ST;CONCENTRIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;110.91
DCAR-B.ST;D CARNEGIE & CO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;110.85
AVEN.ST;AVENSIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;110.76
BORG.ST;BJORN BORG;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST;110.72
TEL2-B.ST;TELE2 B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-B.ST;110.72
ENZY.ST;ENZYMATICA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENZY.ST;110.64
LATO-B.ST;LATOUR INVESTMENT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LATO-B.ST;110.54
ATT.ST;ATTENDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;110.51
XACT-BULL.ST;XACT BULL ETF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL.ST;110.38
CORE-PREF.ST;COREM PROPERTY GROUP PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;110.36
MINEST.ST;MINESTO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MINEST.ST;110.27
OEM-B.ST;OEM INTERNATIONAL B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OEM-B.ST;110.27
NETI-B.ST;NET INSIGHT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NETI-B.ST;110.12
JM.ST;JM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;109.79
VIT-B.ST;VITEC SOFTWARE GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST;109.79
ALCA.ST;ALCADON GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;109.74
OBDU-PREF-B.NGM;OBDUCAT PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-PREF-B.NGM;109.7
ELUX-B.ST;ELECTROLUX B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;109.56
ADDT-B.ST;ADDTECH B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;109.5
GARO.ST;GARO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST;109.4
IMMNOV.ST;IMMUNOVIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;109.38
CCC.ST;CAVOTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;109.35
BONG.ST;BONG;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;109.27
ZETA.ST;ZETA DISPLAY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA.ST;109.22
HIFA-B.ST;HIFA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST;109.21
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;109.13
ATCO-A.ST;ATLAS COPCO A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;109.12
ALIG.ST;ALIMAK GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;109.1
KINV-B.ST;KINNEVIK B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-B.ST;109.05
ALLG-B.ST;ALLGON B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;109.02
SDIP-PREF.ST;SDIPTECH PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-PREF.ST;108.95
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;108.95
INVE-A.ST;INVESTOR A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-A.ST;108.85
AZA.ST;AVANZA BANK HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;108.8
ICA.ST;ICA GRUPPEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST;108.78
ZETA-PREF.ST;ZETADISPLAY PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA-PREF.ST;108.66
ALIF-B.ST;ADDLIFE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;108.59
GHUS-B.ST;GOTENEHUS GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;108.58
ADDERA.ST;ADDERACARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;108.57
SVIK.ST;STUDSVIK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVIK.ST;108.56
TLSN.ST;TELIA COMPANY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TLSN.ST;108.47
DOM.ST;DOMETIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;108.36
POLY.ST;POLYPLANK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLY.ST;108.34
KAPIAB.ST;KALLEBACK PROPERTY INVEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST;108.32
PEAB-B.ST;PEAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PEAB-B.ST;108.32
ENRO-PREF.ST;ENIRO PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;108.14
NEPA.ST;NEPA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEPA.ST;108.01
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST;107.99
RATO-A.ST;RATOS A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-A.ST;107.96
NIBE-B.ST;NIBE INDUSTRIER B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIBE-B.ST;107.81
LUND-B.ST;LUNDBERGFORETAGEN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUND-B.ST;107.7
TREL-B.ST;TRELLEBORG B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST;107.7
VRG-B.ST;VENUE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VRG-B.ST;107.68
STIL.ST;STILLE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST;107.6
FABG.ST;FABEGE AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FABG.ST;107.57
REZT.ST;REZIDOR HOTEL GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REZT.ST;107.51
NP3.ST;NP3 FASTIGHETER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NP3.ST;107.31
TIEN.ST;TIETO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TIEN.ST;107.21
BOL.ST;BOLIDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;107.19
UFLX-B.ST;UNIFLEX B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST;107.02
ORES.ST;INVESTMENT OERESUND;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST;106.93
ADVE.ST;ADVENICA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;106.8
GHP.ST;GHP SPECIALTY CARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;106.72
MCNH.NGM;MEDICA CLINICAL NORTH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCNH.NGM;106.58
MEAB-B.ST;MALMBERGS ELEKTRISKA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST;106.57
ELAN-B.ST;ELANDERS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;106.46
IS.ST;IMAGE SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;106.44
PEGRO-PREF.ST;PEGROCO INVEST PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PEGRO-PREF.ST;106.43
BRE2.ST;BREDBAND2 I SKANDINAVIEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;106.3
TRENT.ST;TRENTION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRENT.ST;106.01
XACT-NORDEN-30.ST;XACT NORDEN 30 ETF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-NORDEN-30.ST;105.89
ESSITY-B.ST;ESSITY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;105.85
STAR-B.ST;STARBREEZE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-B.ST;105.79
SECARE.ST;SWEDENCARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECARE.ST;105.52
NGS.ST;NGS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGS.ST;105.49
NOKIA-SEK.ST;NOKIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOKIA-SEK.ST;105.44
INISS-B.ST;INISSION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INISS-B.ST;105.4
KLOV-PREF.ST;KLOVERN PREF CNV PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST;105.36
