NAMESHORT;NAME;URL;VALUE;NAME_NORDNET
ORIF.ST;ORIFLAME HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;592.84;
DEDI.ST;DEDICARE AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;576.55;
CRAD-B.ST;C-RAD B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;563.58;
VICO.ST;VICORE PHARMA HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICO.ST;562.87;
NVP.ST;NEUROVIVE PHARMACEUTICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST;548.34;
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;542.21;
KAMBI.ST;KAMBI GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;532.63;
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;531.57;
MAG.ST;MAGNOLIA BOSTAD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;531.45;
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;523.11;
EPIS-B.ST;EPISURF MEDICALORD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;517.72;
DOME.ST;DOME ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;514.14;
JLT.ST;JLT MOBILE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST;490.16;
ZETA.ST;ZETA DISPLAY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA.ST;490.07;
ENRO.ST;ENIRO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;488.72;
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;487.46;
MCNH.NGM;MEDICA CLINICAL NORTH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCNH.NGM;486.69;
MAV.ST;MAVSHACK AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;480.88;
STAR-A.ST;STARBREEZE A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;479.75;
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;474.56;
ORX.ST;OREXO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;458.74;
BINV.ST;BIOINVENT INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;453.01;
NETI-B.ST;NET INSIGHT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NETI-B.ST;451.52;
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;450.08;
HELIO.ST;HELIOSPECTRA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;442.51;
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;441.86;
TETY.ST;TETHYS OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;441.33;
GTGS.NGM;GOLD TOWN GAMES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;435.23;
ARCM.ST;ARCAM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;430.31;
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;429.12;
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;423.55;
EVO.ST;EVOLUTION GAMING GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;419.23;
HOVD.ST;HOVDING SVERIGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST;414.37;
WINT.ST;WEST INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WINT.ST;412.92;
SENS.ST;SENSYS GATSO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SENS.ST;406.54;
FEEL.ST;FEELGOOD SVENSKA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;396.75;
CRWN;CROWN ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;395.51;
SMF.ST;SEMAFO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SMF.ST;390.76;
MRG.ST;MR GREEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MRG.ST;389.74;
TOBII.ST;TOBII;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST;389.21;
POLY.ST;POLYPLANK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLY.ST;386.28;
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;385.62;
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;384.38;
OASM.ST;OASMIA PHARMACEUTICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OASM.ST;378;
CLBIO.ST;CORLINE BIOMED;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;364.09;
KOPY.ST;KOPY GOLDFIELDS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOPY.ST;359.95;
BERG-B.ST;BERGMAN & BEVING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;353.58;
LIFCO-B.ST;LIFCO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;350.84;
MERT-A.NGM;MERTIVA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM;348.94;
ALIV-SDB.ST;AUTOLIV SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;348.82;
DORO.ST;DORO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;346.96;
