NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY
SAVOS.ST;SAVO SOLAR;0.62;52.9;170.0;58.1;1740.0;62.3;5345.0;57.8;2418.0;30.0;60.0;12.91;4.38;-3.3;-3.23;20.22;4.53;0.63;10.01;5.26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;;Savosolar Plc;SAVOS;11;108026;GROUP 2_highRisk
ARCT.ST;ARCTIC GOLD;0.679;61.1;102.0;52.4;268.0;54.1;654.0;55.9;341.0;37.0;47.2;7.32;4.23;-4.62;-4.16;15.43;7.87;0.72;4.04;1.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=67373&marketid=11;;Arctic Minerals AB;ARCT;11;67373;GROUP 2_highRisk
43464.ST;STOCKWIK FORVALTNING;0.047;62.5;241.0;58.3;192.0;38.5;72.0;53.1;168.0;26.0;28.0;8.49;5.0;-4.93;-4.83;24.49;2.78;-3.5;2.51;1.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;YES;Stockwik Förvaltning AB;STWK;11;1007;GROUP 2_highRisk
BRIOX.NGM;BRIOX;4.93;40.0;78.0;44.8;142.0;36.9;100.0;40.6;106.0;32.0;34.4;6.91;5.17;-4.61;-4.36;12.36;7.83;-0.97;0.43;1.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=U1A&marketid=13;YES;Briox;BRIX MTF;13;U1A;GROUP 2_highRisk
SAS.ST;SAS;19.52;50.0;120.0;55.9;211.0;53.9;244.0;53.3;191.0;38.0;43.2;4.09;2.1;-2.4;-1.19;7.9;4.32;0.39;1.25;1.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13557&marketid=11;;SAS AB;SAS;11;13557;GROUP 2_highRisk
