NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID
ARCT.ST;ARCTIC GOLD;0.7;61.1;102;52.4;268;54.1;654;55.9;341;37;47.2;7.32;4.23;-4.62;-4.16;15.43;7.87;0.72;4.04;1.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=67373&marketid=11;;Arctic Minerals AB;ARCT;11;67373
BRIOX.NGM;BRIOX;4.8;40.0;78;44.8;142;36.9;100;40.6;106;32;34.4;6.91;5.17;-4.61;-4.36;12.36;7.83;-0.97;0.43;1.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=U1A&marketid=13;YES;Briox;BRIX MTF;13;U1A
OLDM.ST;OLD MUTUAL;27.73;0.0;96;43.8;92;42.5;99;28.8;95;18;31.6;3.87;2.28;-1.5;-1.41;4.17;4.44;-0.36;-0.51;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OLDM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33014&marketid=11;;Old Mutual Plc;OLDM;11;33014
SAS.ST;SAS;18.96;54.5;120;58.8;211;55.3;244;56.2;191;38;43.2;4.09;2.1;-2.4;-1.19;7.9;4.32;0.39;1.25;1.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13557&marketid=11;;SAS AB;SAS;11;13557
SAS-PREF.ST;SAS PRF;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORTI-A.ST;ORTIVUS A;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAVOS.ST;SAVO SOLAR;0.613;52.9;170;58.1;1740;62.3;5345;57.8;2418;30;60.0;12.91;4.38;-3.3;-3.23;20.22;4.53;0.63;10.01;5.26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;;Savosolar Plc;SAVOS;11;108026
NOMI.ST;NORDIC MINES;;;;;;;;;;;;;;;;;;;;;;;;;;;
43464.ST;STOCKWIK FORVALTNING;0.0472;58.8;247;56.5;197;37.3;74;50.9;172;25;28.0;8.61;5.13;-5.07;-4.91;24.49;2.78;-3.56;2.41;1.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;YES;Stockwik Förvaltning AB;STWK;11;1007
