ASSA-B.ST;ASSA ABLOY B;BUY;172;174.4;172;174;1.28;3,397,622
ATCO-A.ST;ATLAS COPCO A;STAY IN CASH;313.6;314.4;311.7;314;0.83;2,414,384
ATCO-B.ST;ATLAS COPCO B;STAY IN CASH;285.4;287.4;284.1;284.8;0.42;1,734,833
ATIC.ST;ACTIC GROUP;STAY SHORT;41.2;41.6;41;41;-0.24;3,193
ATORX.ST;ALLIGATOR BIOSCIENCE;BUY;26.6;27.6;26.5;27;1.5;13,206
ATRLJ-B.ST;ATRIUM LJUNGBERG B;BUY;140.5;143.5;140.3;141.9;0.5;15,003
ATT.ST;ATTENDO;STAY IN CASH;98;99.1;96.8;98.5;0.61;97,802
AUR.ST;AURIANT MINING;STAY SHORT;2.42;2.45;2.4;2.42;0.83;106,976
AUTO.ST;VA AUTOMOTIVE;STAY IN CASH;2.03;2.03;1.93;2.01;2.03;215,635
AVEG-B.ST;AVEGA GROUP ser. B;STAY LONG;28.5;29.6;28.5;29.1;2.46;35,786
AVEN.ST;AVENSIA;STAY LONG;8.7;8.8;8.4;8.8;0;14,843
AVT-B.ST;AVTECH SWEDEN;STAY LONG;4.19;4.2;4;4.05;-2.41;9,119
AXFO.ST;AXFOOD;STAY IN CASH;140.8;141.9;140.5;140.8;0.14;326,201
AXIC-A.ST;AXICHEM A;STAY LONG;12.8;12.9;12.8;12.9;0.78;3,163
AXIS.ST;AXIS;STAY IN CASH;348;348;339.5;339.6;-0.99;628
AZA.ST;AVANZA BANK HOLDING;STAY LONG;333.3;335.1;332.1;332.5;-0.06;19,142
AZN.ST;ASTRAZENECA;STAY LONG;472.3;483;471.5;481.6;2.01;666,265
B3IT.ST;B3IT MANAGEMENT;STAY LONG;82.5;82.5;79.25;81.25;-0.61;3,111
BACTI-B.ST;BACTIGUARD HOLD;STAY LONG;22.1;22.1;21.1;21.7;-2.69;10,62
BALD-B.ST;FASTIGHETS BALDER B;STAY LONG;210;210.2;208.1;208.6;-0.33;130,007
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;STAY LONG;349;349.6;348.5;348.6;0.03;51,403
BAYN.ST;BAYN EUROPE;BUY;2.2;2.3;2.14;2.24;5.66;129,134
BEGR.ST;BE GROUP;STAY LONG;52.75;53.75;52.5;52.5;-0.47;34,923
BEIA-B.ST;BEIJER ALMA B;STAY IN CASH;235;239;235;238;1.49;1,856
BEIJ-B.ST;BEIJER REF AB;STAY LONG;254;260;252.5;254.5;1.6;3,905
BELE.ST;BEIJER ELECTRONICS GROUP;STAY SHORT;38.9;39;38;38.5;2.12;10,49
BERG-B.ST;BERGMAN & BEVING;BUY;93.5;97.75;93.5;96.25;2.67;94,548
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;STAY SHORT;140;143.5;139.25;142;1.43;4,933
BETS-B.ST;BETSSON B;STAY LONG;74.7;75.1;74.3;74.7;0.67;312,154
BILI-A.ST;BILIA A;STAY LONG;83.25;85.5;83.25;84.25;1.81;287,602
BILL.ST;BILLERUD KORSNAS;STAY LONG;132.9;133.3;130.2;130.7;-1.36;683,411
BIM.ST;BIMOBJECT;STAY LONG;30.3;30.5;29;29.9;-0.33;25,398
BINV.ST;BIOINVENT INTERNATIONAL;STAY LONG;2.35;2.41;2.34;2.39;0;341,91
BIOG-B.ST;BIOGAIA B;BUY;305;309.5;304;309;2.32;11,046
BIOS.ST;BIOSERVO TECHNOLOGIES;STAY LONG;14.5;15.5;14.5;15.1;3.07;3,803
BIOT.ST;BIOTAGE;STAY SHORT;59;59.25;57.25;57.75;-2.12;86,471
BIOVIC-B.ST;BIOVICA INTERNATIONAL;STAY LONG;11;12.5;11;12;9.59;49,396
BMAX.ST;BYGGMAX GROUP;BUY;66.25;67.5;66;67.25;1.13;108,581
BOL.ST;BOLIDEN;STAY LONG;279.9;282.5;279.5;282.4;1.58;1,631,045
BONAV-A.ST;BONAVA A;STAY SHORT;127.5;128.8;127.4;128.5;-0.62;2,576
BONAV-B.ST;BONAVA B;STAY SHORT;128;129.5;127.7;128.4;-0.93;90,255
BONG.ST;BONG;STAY LONG;1.04;1.05;1.01;1.05;0.96;52,033
BOOZT.ST;BOOZT;BUY;74.75;76.5;74;75.75;1.68;63,539
BORG.ST;BJORN BORG;STAY IN CASH;31.8;31.9;31.2;31.6;0.32;5,914
BOUL.ST;BOULE DIAGNOSTICS;STAY LONG;284;284;269;271.5;-3.38;13,06
BRAV.ST;BRAVIDA HOLDING;BUY;58.95;59.95;58.9;59.95;2.22;213,947
BRE2.ST;BREDBAND2 I SKANDINAVIEN;STAY IN CASH;0.975;0.975;0.955;0.965;-1.03;583,809
BRG-B.ST;BERGS TIMBER B;BUY;2.63;2.7;2.63;2.7;3.05;146,911
BRIG.ST;BRIGHTER AB;STAY IN CASH;5.8;5.8;5.6;5.6;-1.75;177,332
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;STAY LONG;2.63;3;2.45;2.6;0;52,776
BRIN-B.ST;BRINOVA FASTIGHETER;STAY LONG;12.7;12.95;12.65;12.95;-0.38;1,733
BRIOX.NGM;BRIOX;STAY LONG;2.47;2.6;2.47;2.57;0.78;89,147
BTS-B.ST;BTS GROUP B;STAY IN CASH;89;89.75;87.5;89;-0.28;6,562
BUFAB.ST;BUFAB;SELL;95;95.5;93;93;-1.33;45,892
BULTEN.ST;BULTEN;STAY LONG;123.5;125.25;123;123;0.82;12,78
BURE.ST;BURE EQUITY;STAY LONG;96.5;97.5;95.75;96.5;0.26;52,042
BUSER.ST;BAMBUSER;SHORT;3.96;3.96;3.92;3.92;-1.01;13,9
BWL.ST;BRINGWELL;STAY IN CASH;1.06;1.15;1.06;1.06;0;46,547
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;STAY SHORT;32.5;32.9;32.2;32.6;0.31;5,621
CAMX.ST;CAMURUS;STAY SHORT;120;120;117.5;119.5;-0.42;16,258
CANTA.ST;CANTARGIA;STAY LONG;6.5;6.6;6.2;6.25;-1.57;32,502
CAPAC.ST;CAPACENT HOLDING;STAY SHORT;31.8;31.8;31.3;31.3;-1.26;5,052
CAPIO.ST;CAPIO;STAY LONG;44.8;44.9;44.6;44.7;0;131,282
CASO.ST;CASSANDRA OIL;STAY IN CASH;0.825;0.84;0.8;0.84;1.82;182,76
CAST.ST;CASTELLUM;BUY;124.2;125.4;124.2;125.1;0.56;719,951
CAT-A.ST;CATELLA A;STAY LONG;25.5;26.2;25.5;26;1.96;2,823
CAT-B.ST;CATELLA B;STAY SHORT;20;20.1;19.8;20;0;106,964
CATE.ST;CATENA;STAY LONG;146;149.75;145.75;149.25;4.37;37,364
CBA.ST;CYBAERO;STAY IN CASH;0.9;0.9;0.88;0.88;0;12,254
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;BUY;17.8;18;17.8;18;1.69;7,778
CCC.ST;CAVOTEC;SHORT;28.3;28.5;27.8;28;-2.78;36,96
CCOR-B.ST;CONCORDIA MARITIME B;STAY LONG;13;13;12.8;12.95;0;6,229
CE.ST;CORTUS ENERGY;STAY SHORT;1.04;1.05;1;1.05;0.96;626,559
CELLNK-B.ST;CELLINK;STAY LONG;92.75;92.75;89;92.75;-1.33;565
CEVI.ST;CELLAVISION;STAY LONG;164.5;169;164;165;1.54;88,846
CFISH.ST;CRUNCHFISH;STAY SHORT;9.75;9.9;9.55;9.75;2.63;2,58
CHRO.ST;CHROMOGENICS;STAY LONG;5;5;4.95;5;0;6,14
CI-B.ST;CELL IMPACT B;STAY SHORT;11.95;12.4;11.85;12.4;3.77;8,518
CINN.ST;CINNO FIN TECH;BUY;84.25;85.75;84;85.5;3.64;29,722
CLA-B.ST;CLOETTA B;STAY LONG;30.2;30.3;29.5;29.8;-1;483,033
CLAS-B.ST;CLAS OHLSON B;STAY SHORT;158;160;158;159;0.63;46,889
CLAV.ST;CLAVISTER HOLDING;STAY IN CASH;19.8;20.4;19;19;-4.52;66,181
CLBIO.ST;CORLINE BIOMED;STAY LONG;10;10;9.8;9.95;0;1,579
CLDRE-B.NGM;CLOUDREPUBLIC;STAY SHORT;9.9;9.9;9.25;9.25;-5.61;6,187
CLEANT-A.ST;CLEANTECH INVEST;STAY SHORT;25.6;26.3;25.6;25.8;1.18;2,843
CLEM.ST;CLEMENDO GROUP;STAY SHORT;2.07;2.28;2.07;2.12;-7.83;71,831
CLEMO.ST;CLEAN MOTION;STAY SHORT;10.1;10.1;8.5;8.6;-14.43;90,619
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;STAY LONG;10.9;11.8;10.85;11.4;6.54;60,579
CLX.ST;CLX COMMUNICATIONS;STAY LONG;107;113;104.25;109.25;3.8;39,725
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;BUY;49.4;52;48.2;50.5;4.99;4,185
